split,image,objects,healthy_objects,unhealthy_objects,image_type
train,healthy_0069.jpg,2,2,0,Healthy only
train,healthy_0070.jpg,2,2,0,Healthy only
train,healthy_0071.jpg,1,1,0,Healthy only
train,healthy_0072.jpg,1,1,0,Healthy only
train,healthy_0073.jpg,3,3,0,Healthy only
train,healthy_0074.jpg,1,1,0,Healthy only
train,healthy_0075.jpg,1,1,0,Healthy only
train,healthy_0076.jpg,1,1,0,Healthy only
train,healthy_0077.jpg,2,2,0,Healthy only
train,healthy_0078.jpg,2,2,0,Healthy only
train,healthy_0079.jpg,2,2,0,Healthy only
train,healthy_0080.jpg,2,2,0,Healthy only
train,healthy_0081.jpg,2,2,0,Healthy only
train,healthy_0082.jpg,2,2,0,Healthy only
train,healthy_0083.jpg,1,1,0,Healthy only
train,healthy_0084.jpg,1,1,0,Healthy only
train,healthy_0085.jpg,1,1,0,Healthy only
train,healthy_0086.jpg,1,1,0,Healthy only
train,healthy_0087.jpg,1,1,0,Healthy only
train,healthy_0088.jpg,1,1,0,Healthy only
train,healthy_0089.jpg,1,1,0,Healthy only
train,healthy_0090.jpg,1,1,0,Healthy only
train,healthy_0091.jpg,2,2,0,Healthy only
train,healthy_0092.jpg,2,2,0,Healthy only
train,healthy_0093.jpg,2,2,0,Healthy only
train,healthy_0094.jpg,2,2,0,Healthy only
train,healthy_0095.jpg,2,2,0,Healthy only
train,healthy_0096.jpg,2,2,0,Healthy only
train,healthy_0097.jpg,1,1,0,Healthy only
train,healthy_0125.jpg,3,3,0,Healthy only
train,healthy_0126.jpg,4,4,0,Healthy only
train,healthy_0127.jpg,3,3,0,Healthy only
train,healthy_0128.jpg,3,3,0,Healthy only
train,healthy_0129.jpg,3,3,0,Healthy only
train,healthy_0130.jpg,3,3,0,Healthy only
train,healthy_0131.jpg,4,4,0,Healthy only
train,healthy_0132.jpg,3,3,0,Healthy only
train,healthy_0133.jpg,4,4,0,Healthy only
train,healthy_0134.jpg,3,3,0,Healthy only
train,healthy_0135.jpg,2,2,0,Healthy only
train,healthy_0136.jpg,3,3,0,Healthy only
train,healthy_0137.jpg,3,3,0,Healthy only
train,healthy_0138.jpg,2,2,0,Healthy only
train,healthy_0139.jpg,4,3,1,Mixed
train,healthy_0140.jpg,4,4,0,Healthy only
train,healthy_0141.jpg,4,4,0,Healthy only
train,healthy_0142.jpg,4,4,0,Healthy only
train,healthy_0143.jpg,3,3,0,Healthy only
train,healthy_0144.jpg,3,3,0,Healthy only
train,healthy_0145.jpg,2,2,0,Healthy only
train,healthy_0146.jpg,3,3,0,Healthy only
train,healthy_0147.jpg,3,3,0,Healthy only
train,healthy_0148.jpg,1,1,0,Healthy only
train,healthy_0149.jpg,2,2,0,Healthy only
train,healthy_0150.jpg,2,2,0,Healthy only
train,healthy_0153.jpg,2,2,0,Healthy only
train,healthy_0154.jpg,3,3,0,Healthy only
train,healthy_0155.jpg,2,2,0,Healthy only
train,healthy_0156.jpg,2,2,0,Healthy only
train,healthy_0157.jpg,2,2,0,Healthy only
train,healthy_0158.jpg,3,3,0,Healthy only
train,healthy_0159.jpg,2,2,0,Healthy only
train,healthy_0160.jpg,2,2,0,Healthy only
train,healthy_0161.jpg,2,2,0,Healthy only
train,healthy_0162.jpg,2,2,0,Healthy only
train,healthy_0163.jpg,2,2,0,Healthy only
train,healthy_0164.jpg,4,4,0,Healthy only
train,healthy_0165.jpg,2,2,0,Healthy only
train,healthy_0166.jpg,2,2,0,Healthy only
train,healthy_0167.jpg,2,2,0,Healthy only
train,healthy_0168.jpg,2,2,0,Healthy only
train,healthy_0169.jpg,2,2,0,Healthy only
train,healthy_0170.jpg,2,2,0,Healthy only
train,healthy_0171.jpg,2,2,0,Healthy only
train,healthy_0172.jpg,2,2,0,Healthy only
train,healthy_0173.jpg,2,2,0,Healthy only
train,healthy_0174.jpg,1,1,0,Healthy only
train,healthy_0175.jpg,1,1,0,Healthy only
train,healthy_0176.jpg,1,1,0,Healthy only
train,healthy_0177.jpg,1,1,0,Healthy only
train,healthy_0178.jpg,1,1,0,Healthy only
train,healthy_0179.jpg,1,1,0,Healthy only
train,healthy_0180.jpg,1,1,0,Healthy only
train,healthy_0181.jpg,1,1,0,Healthy only
train,healthy_0182.jpg,4,4,0,Healthy only
train,healthy_0183.jpg,1,1,0,Healthy only
train,healthy_0184.jpg,1,1,0,Healthy only
train,healthy_0185.jpg,1,1,0,Healthy only
train,healthy_0186.jpg,1,1,0,Healthy only
train,healthy_0187.jpg,2,2,0,Healthy only
train,healthy_0188.jpg,1,1,0,Healthy only
train,healthy_0189.jpg,1,1,0,Healthy only
train,healthy_0190.jpg,1,1,0,Healthy only
train,healthy_0191.jpg,1,1,0,Healthy only
train,healthy_0192.jpg,3,3,0,Healthy only
train,healthy_0193.jpg,3,2,1,Mixed
train,healthy_0194.jpg,2,1,1,Mixed
train,healthy_0198.jpg,2,2,0,Healthy only
train,healthy_0200.jpg,3,3,0,Healthy only
train,healthy_0201.jpg,2,2,0,Healthy only
train,healthy_0203.jpg,1,1,0,Healthy only
train,healthy_0204.jpg,2,2,0,Healthy only
train,healthy_0205.jpg,1,1,0,Healthy only
train,healthy_0206.jpg,2,2,0,Healthy only
train,healthy_0207.jpg,1,1,0,Healthy only
train,healthy_0208.jpg,2,2,0,Healthy only
train,healthy_0209.jpg,3,3,0,Healthy only
train,healthy_0210.jpg,4,4,0,Healthy only
train,healthy_0211.jpg,4,4,0,Healthy only
train,healthy_0212.jpg,3,3,0,Healthy only
train,healthy_0213.jpg,1,1,0,Healthy only
train,healthy_0214.jpg,2,2,0,Healthy only
train,healthy_0215.jpg,2,2,0,Healthy only
train,healthy_0216.jpg,2,2,0,Healthy only
train,healthy_0217.jpg,4,4,0,Healthy only
train,healthy_0218.jpg,2,2,0,Healthy only
train,healthy_0219.jpg,2,2,0,Healthy only
train,healthy_0220.jpg,3,3,0,Healthy only
train,healthy_0221.jpg,3,3,0,Healthy only
train,healthy_0222.jpg,2,2,0,Healthy only
train,healthy_0223.jpg,2,2,0,Healthy only
train,healthy_0224.jpg,3,3,0,Healthy only
train,healthy_0225.jpg,2,2,0,Healthy only
train,healthy_0226.jpg,2,2,0,Healthy only
train,healthy_0227.jpg,2,2,0,Healthy only
train,healthy_0228.jpg,3,3,0,Healthy only
train,healthy_0229.jpg,2,2,0,Healthy only
train,healthy_0230.jpg,3,3,0,Healthy only
train,healthy_0231.jpg,2,2,0,Healthy only
train,healthy_0232.jpg,1,1,0,Healthy only
train,healthy_0233.jpg,3,3,0,Healthy only
train,healthy_0234.jpg,2,2,0,Healthy only
train,healthy_0235.jpg,2,2,0,Healthy only
train,healthy_0236.jpg,3,3,0,Healthy only
train,healthy_0237.jpg,2,2,0,Healthy only
train,healthy_0238.jpg,2,2,0,Healthy only
train,healthy_0239.jpg,3,3,0,Healthy only
train,healthy_0240.jpg,3,3,0,Healthy only
train,healthy_0241.jpg,3,3,0,Healthy only
train,healthy_0242.jpg,2,2,0,Healthy only
train,healthy_0243.jpg,2,2,0,Healthy only
train,healthy_0244.jpg,2,2,0,Healthy only
train,healthy_0245.jpg,2,2,0,Healthy only
train,healthy_0246.jpg,2,2,0,Healthy only
train,healthy_0247.jpg,2,2,0,Healthy only
train,healthy_0248.jpg,1,1,0,Healthy only
train,healthy_0249.jpg,1,1,0,Healthy only
train,healthy_0250.jpg,2,1,1,Mixed
train,healthy_0252.jpg,2,1,1,Mixed
train,healthy_0253.jpg,2,2,0,Healthy only
train,healthy_0254.jpg,2,2,0,Healthy only
train,healthy_0255.jpg,2,2,0,Healthy only
train,healthy_0256.jpg,2,2,0,Healthy only
train,healthy_0257.jpg,2,2,0,Healthy only
train,healthy_0258.jpg,3,3,0,Healthy only
train,healthy_0259.jpg,3,2,1,Mixed
train,healthy_0260.jpg,3,2,1,Mixed
train,healthy_0261.jpg,3,3,0,Healthy only
train,healthy_0262.jpg,2,2,0,Healthy only
train,healthy_0263.jpg,2,2,0,Healthy only
train,healthy_0264.jpg,3,3,0,Healthy only
train,healthy_0265.jpg,2,2,0,Healthy only
train,healthy_0266.jpg,3,3,0,Healthy only
train,healthy_0267.jpg,2,2,0,Healthy only
train,healthy_0268.jpg,2,2,0,Healthy only
train,healthy_0269.jpg,3,3,0,Healthy only
train,healthy_0270.jpg,2,2,0,Healthy only
train,healthy_0271.jpg,3,3,0,Healthy only
train,healthy_0272.jpg,3,3,0,Healthy only
train,healthy_0273.jpg,3,3,0,Healthy only
train,healthy_0274.jpg,2,2,0,Healthy only
train,healthy_0275.jpg,2,2,0,Healthy only
train,healthy_0276.jpg,2,2,0,Healthy only
train,healthy_0277.jpg,2,2,0,Healthy only
train,healthy_0278.jpg,3,3,0,Healthy only
train,healthy_0279.jpg,3,3,0,Healthy only
train,healthy_0280.jpg,2,2,0,Healthy only
train,healthy_0281.jpg,2,2,0,Healthy only
train,healthy_0282.jpg,2,2,0,Healthy only
train,healthy_0283.jpg,3,3,0,Healthy only
train,healthy_0284.jpg,3,3,0,Healthy only
train,healthy_0285.jpg,1,1,0,Healthy only
train,healthy_0286.jpg,1,1,0,Healthy only
train,healthy_0287.jpg,4,2,2,Mixed
train,healthy_0288.jpg,3,2,1,Mixed
train,healthy_0289.jpg,2,2,0,Healthy only
train,healthy_0290.jpg,3,3,0,Healthy only
train,healthy_0291.jpg,2,2,0,Healthy only
train,healthy_0292.jpg,3,3,0,Healthy only
train,healthy_0293.jpg,2,2,0,Healthy only
train,healthy_0294.jpg,2,2,0,Healthy only
train,healthy_0295.jpg,2,2,0,Healthy only
train,healthy_0296.jpg,2,2,0,Healthy only
train,healthy_0297.jpg,2,2,0,Healthy only
train,healthy_0298.jpg,3,3,0,Healthy only
train,healthy_0299.jpg,2,2,0,Healthy only
train,healthy_0300.jpg,2,2,0,Healthy only
train,healthy_0301.jpg,3,3,0,Healthy only
train,healthy_0302.jpg,3,3,0,Healthy only
train,healthy_0303.jpg,3,3,0,Healthy only
train,healthy_0304.jpg,3,3,0,Healthy only
train,healthy_0305.jpg,3,3,0,Healthy only
train,healthy_0306.jpg,3,3,0,Healthy only
train,healthy_0307.jpg,2,2,0,Healthy only
train,healthy_0308.jpg,2,2,0,Healthy only
train,healthy_0309.jpg,1,1,0,Healthy only
train,healthy_0310.jpg,1,1,0,Healthy only
train,healthy_0311.jpg,3,3,0,Healthy only
train,healthy_0312.jpg,3,3,0,Healthy only
train,healthy_0313.jpg,3,3,0,Healthy only
train,healthy_0314.jpg,3,3,0,Healthy only
train,healthy_0315.jpg,4,4,0,Healthy only
train,healthy_0316.jpg,4,4,0,Healthy only
train,healthy_0317.jpg,3,3,0,Healthy only
train,healthy_0318.jpg,3,3,0,Healthy only
train,healthy_0319.jpg,2,2,0,Healthy only
train,healthy_0320.jpg,2,2,0,Healthy only
train,healthy_0321.jpg,2,2,0,Healthy only
train,healthy_0322.jpg,2,2,0,Healthy only
train,healthy_0323.jpg,1,1,0,Healthy only
train,healthy_0324.jpg,1,1,0,Healthy only
train,healthy_0325.jpg,8,7,1,Mixed
train,healthy_0326.jpg,7,5,2,Mixed
train,healthy_0327.jpg,2,1,1,Mixed
train,healthy_0328.jpg,2,2,0,Healthy only
train,healthy_0329.jpg,2,2,0,Healthy only
train,healthy_0330.jpg,2,2,0,Healthy only
train,healthy_0331.jpg,3,3,0,Healthy only
train,healthy_0332.jpg,3,3,0,Healthy only
train,healthy_0333.jpg,3,3,0,Healthy only
train,healthy_0334.jpg,3,3,0,Healthy only
train,healthy_0335.jpg,3,3,0,Healthy only
train,healthy_0336.jpg,3,3,0,Healthy only
train,healthy_0337.jpg,4,4,0,Healthy only
train,healthy_0338.jpg,4,4,0,Healthy only
train,healthy_0339.jpg,2,2,0,Healthy only
train,healthy_0340.jpg,2,2,0,Healthy only
train,healthy_0344.jpg,2,1,1,Mixed
train,healthy_0345.jpg,3,3,0,Healthy only
train,healthy_0346.jpg,2,2,0,Healthy only
train,healthy_0347.jpg,1,1,0,Healthy only
train,healthy_0348.jpg,1,1,0,Healthy only
train,healthy_0349.jpg,3,3,0,Healthy only
train,healthy_0350.jpg,3,3,0,Healthy only
train,healthy_0351.jpg,2,2,0,Healthy only
train,healthy_0413.jpg,3,2,1,Mixed
train,healthy_0414.jpg,2,1,1,Mixed
train,healthy_0415.jpg,3,3,0,Healthy only
train,healthy_0416.jpg,4,4,0,Healthy only
train,healthy_0417.jpg,2,1,1,Mixed
train,healthy_0420.jpg,3,3,0,Healthy only
train,healthy_0421.jpg,4,4,0,Healthy only
train,healthy_0423.jpg,2,1,1,Mixed
train,healthy_0424.jpg,2,1,1,Mixed
train,healthy_0425.jpg,2,2,0,Healthy only
train,healthy_0426.jpg,2,2,0,Healthy only
train,healthy_0427.jpg,2,2,0,Healthy only
train,healthy_0428.jpg,2,2,0,Healthy only
train,healthy_0429.jpg,2,1,1,Mixed
train,healthy_0431.jpg,2,2,0,Healthy only
train,healthy_0432.jpg,4,4,0,Healthy only
train,healthy_0433.jpg,2,2,0,Healthy only
train,healthy_0434.jpg,2,2,0,Healthy only
train,healthy_0435.jpg,1,1,0,Healthy only
train,healthy_0436.jpg,1,1,0,Healthy only
train,healthy_0438.jpg,7,7,0,Healthy only
train,healthy_0439.jpg,3,3,0,Healthy only
train,healthy_0440.jpg,1,1,0,Healthy only
train,healthy_0443.jpg,2,2,0,Healthy only
train,healthy_0444.jpg,3,2,1,Mixed
train,healthy_0446.jpg,1,1,0,Healthy only
train,healthy_0447.jpg,1,1,0,Healthy only
train,healthy_0449.jpg,3,3,0,Healthy only
train,healthy_0450.jpg,3,3,0,Healthy only
train,healthy_0451.jpg,3,3,0,Healthy only
train,healthy_0452.jpg,2,2,0,Healthy only
train,healthy_0453.jpg,2,2,0,Healthy only
train,healthy_0454.jpg,2,1,1,Mixed
train,healthy_0455.jpg,2,2,0,Healthy only
train,healthy_0456.jpg,9,9,0,Healthy only
train,healthy_0457.jpg,2,2,0,Healthy only
train,healthy_0458.jpg,4,4,0,Healthy only
train,healthy_0459.jpg,2,2,0,Healthy only
train,healthy_0460.jpg,2,2,0,Healthy only
train,healthy_0462.jpg,3,2,1,Mixed
train,healthy_0464.jpg,2,2,0,Healthy only
train,healthy_0465.jpg,3,3,0,Healthy only
train,healthy_0466.jpg,2,2,0,Healthy only
train,healthy_0467.jpg,4,4,0,Healthy only
train,healthy_0471.jpg,1,1,0,Healthy only
train,healthy_0472.jpg,2,2,0,Healthy only
train,healthy_0473.jpg,4,4,0,Healthy only
train,healthy_0474.jpg,2,2,0,Healthy only
train,healthy_0475.jpg,2,2,0,Healthy only
train,healthy_0476.jpg,6,6,0,Healthy only
train,healthy_0477.jpg,1,1,0,Healthy only
train,healthy_0478.jpg,3,3,0,Healthy only
train,healthy_0479.jpg,3,3,0,Healthy only
train,healthy_0480.jpg,3,3,0,Healthy only
train,healthy_0481.jpg,2,2,0,Healthy only
train,healthy_0482.jpg,3,2,1,Mixed
train,healthy_0485.jpg,3,2,1,Mixed
train,healthy_0486.jpg,2,1,1,Mixed
train,healthy_0487.jpg,2,2,0,Healthy only
train,healthy_0488.jpg,2,2,0,Healthy only
train,healthy_0489.jpg,2,2,0,Healthy only
train,healthy_0490.jpg,2,2,0,Healthy only
train,healthy_0491.jpg,3,3,0,Healthy only
train,healthy_0492.jpg,1,1,0,Healthy only
train,healthy_0494.jpg,3,3,0,Healthy only
train,healthy_0495.jpg,1,1,0,Healthy only
train,healthy_0496.jpg,17,17,0,Healthy only
train,healthy_0497.jpg,6,6,0,Healthy only
train,healthy_0498.jpg,6,6,0,Healthy only
train,healthy_0499.jpg,7,7,0,Healthy only
train,healthy_0500.jpg,5,5,0,Healthy only
train,healthy_0501.jpg,4,4,0,Healthy only
train,healthy_0502.jpg,5,5,0,Healthy only
train,healthy_0503.jpg,7,7,0,Healthy only
train,healthy_0504.jpg,4,4,0,Healthy only
train,healthy_0505.jpg,2,2,0,Healthy only
train,healthy_0506.jpg,3,3,0,Healthy only
train,healthy_0507.jpg,3,3,0,Healthy only
train,healthy_0508.jpg,3,3,0,Healthy only
train,healthy_0509.jpg,5,5,0,Healthy only
train,healthy_0510.jpg,2,2,0,Healthy only
train,healthy_0512.jpg,3,3,0,Healthy only
train,healthy_0513.jpg,4,4,0,Healthy only
train,healthy_0514.jpg,5,5,0,Healthy only
train,healthy_0515.jpg,6,6,0,Healthy only
train,healthy_0516.jpg,1,1,0,Healthy only
train,healthy_0522.jpg,5,4,1,Mixed
train,healthy_0524.jpg,3,3,0,Healthy only
train,healthy_0525.jpg,1,1,0,Healthy only
train,healthy_0526.jpg,2,2,0,Healthy only
train,healthy_0527.jpg,2,2,0,Healthy only
train,healthy_0528.jpg,3,3,0,Healthy only
train,healthy_0529.jpg,5,5,0,Healthy only
train,healthy_0530.jpg,2,2,0,Healthy only
train,healthy_0532.jpg,9,5,4,Mixed
train,healthy_0533.jpg,2,2,0,Healthy only
train,healthy_0534.jpg,3,3,0,Healthy only
train,healthy_0537.jpg,6,6,0,Healthy only
train,healthy_0538.jpg,3,3,0,Healthy only
train,healthy_0539.jpg,4,4,0,Healthy only
train,healthy_0542.jpg,4,4,0,Healthy only
train,healthy_0543.jpg,6,6,0,Healthy only
train,healthy_0544.jpg,2,2,0,Healthy only
train,healthy_0545.jpg,4,4,0,Healthy only
train,healthy_0546.jpg,4,4,0,Healthy only
train,healthy_0547.jpg,2,2,0,Healthy only
train,healthy_0548.jpg,2,2,0,Healthy only
train,healthy_0549.jpg,2,1,1,Mixed
train,healthy_0550.jpg,3,3,0,Healthy only
train,healthy_0551.jpg,3,3,0,Healthy only
train,healthy_0553.jpg,3,3,0,Healthy only
train,healthy_0554.jpg,2,1,1,Mixed
train,healthy_0555.jpg,4,3,1,Mixed
train,healthy_0556.jpg,3,3,0,Healthy only
train,healthy_0557.jpg,3,3,0,Healthy only
train,healthy_0558.jpg,6,6,0,Healthy only
train,healthy_0559.jpg,4,2,2,Mixed
train,healthy_0562.jpg,2,2,0,Healthy only
train,healthy_0563.jpg,3,3,0,Healthy only
train,healthy_0564.jpg,1,1,0,Healthy only
train,healthy_0565.jpg,3,3,0,Healthy only
train,healthy_0566.jpg,3,3,0,Healthy only
train,healthy_0567.jpg,2,2,0,Healthy only
train,healthy_0568.jpg,3,3,0,Healthy only
train,healthy_0569.jpg,17,17,0,Healthy only
train,healthy_0570.jpg,4,2,2,Mixed
train,healthy_0574.jpg,1,1,0,Healthy only
train,healthy_0575.jpg,1,1,0,Healthy only
train,healthy_0576.jpg,4,4,0,Healthy only
train,healthy_0577.jpg,3,2,1,Mixed
train,healthy_0578.jpg,1,1,0,Healthy only
train,healthy_0579.jpg,1,1,0,Healthy only
train,healthy_0582.jpg,3,2,1,Mixed
train,healthy_0583.jpg,11,11,0,Healthy only
train,healthy_0584.jpg,7,7,0,Healthy only
train,healthy_0586.jpg,2,2,0,Healthy only
train,healthy_0587.jpg,7,7,0,Healthy only
train,healthy_0588.jpg,3,3,0,Healthy only
train,healthy_0589.jpg,2,2,0,Healthy only
train,healthy_0590.jpg,1,1,0,Healthy only
train,healthy_0593.jpg,6,6,0,Healthy only
train,healthy_0594.jpg,17,17,0,Healthy only
train,healthy_0595.jpg,4,2,2,Mixed
train,healthy_0596.jpg,2,2,0,Healthy only
train,healthy_0597.jpg,4,4,0,Healthy only
train,healthy_0598.jpg,11,11,0,Healthy only
train,healthy_0599.jpg,4,3,1,Mixed
train,healthy_0600.jpg,4,4,0,Healthy only
train,healthy_0601.jpg,3,3,0,Healthy only
train,healthy_0603.jpg,4,3,1,Mixed
train,healthy_0605.jpg,2,2,0,Healthy only
train,healthy_0606.jpg,1,1,0,Healthy only
train,healthy_0607.jpg,2,2,0,Healthy only
train,healthy_0608.jpg,4,4,0,Healthy only
train,healthy_0609.jpg,1,1,0,Healthy only
train,healthy_0610.jpg,3,3,0,Healthy only
train,healthy_0611.jpg,2,2,0,Healthy only
train,healthy_0612.jpg,2,2,0,Healthy only
train,healthy_0614.jpg,3,3,0,Healthy only
train,healthy_0615.jpg,3,3,0,Healthy only
train,healthy_0616.jpg,3,3,0,Healthy only
train,healthy_0617.jpg,1,1,0,Healthy only
train,healthy_0618.jpg,1,1,0,Healthy only
train,healthy_0619.jpg,2,2,0,Healthy only
train,healthy_0620.jpg,1,1,0,Healthy only
train,healthy_0621.jpg,1,1,0,Healthy only
train,healthy_0623.jpg,1,1,0,Healthy only
train,healthy_0625.jpg,1,1,0,Healthy only
train,healthy_0626.jpg,1,1,0,Healthy only
train,healthy_0627.jpg,1,1,0,Healthy only
train,healthy_0628.jpg,1,1,0,Healthy only
train,healthy_0629.jpg,1,1,0,Healthy only
train,healthy_0631.jpg,1,1,0,Healthy only
train,healthy_0632.jpg,1,1,0,Healthy only
train,healthy_0633.jpg,1,1,0,Healthy only
train,healthy_0634.jpg,1,1,0,Healthy only
train,healthy_0641.jpg,1,1,0,Healthy only
train,healthy_0642.jpg,1,1,0,Healthy only
train,healthy_0643.jpg,1,1,0,Healthy only
train,healthy_0644.jpg,1,1,0,Healthy only
train,healthy_0645.jpg,1,1,0,Healthy only
train,healthy_0646.jpg,1,1,0,Healthy only
train,healthy_0647.jpg,1,1,0,Healthy only
train,healthy_0648.jpg,1,1,0,Healthy only
train,healthy_0652.jpg,1,1,0,Healthy only
train,healthy_0653.jpg,4,3,1,Mixed
train,healthy_0654.jpg,4,2,2,Mixed
train,healthy_0655.jpg,4,3,1,Mixed
train,healthy_0658.jpg,1,1,0,Healthy only
train,healthy_0659.jpg,2,2,0,Healthy only
train,healthy_0660.jpg,3,3,0,Healthy only
train,healthy_0661.jpg,1,1,0,Healthy only
train,healthy_0662.jpg,2,2,0,Healthy only
train,healthy_0663.jpg,1,1,0,Healthy only
train,healthy_0665.jpg,1,1,0,Healthy only
train,healthy_0668.jpg,2,1,1,Mixed
train,healthy_0669.jpg,2,2,0,Healthy only
train,healthy_0674.jpg,1,1,0,Healthy only
train,healthy_0675.jpg,1,1,0,Healthy only
train,healthy_0677.jpg,3,3,0,Healthy only
train,healthy_0678.jpg,2,2,0,Healthy only
train,healthy_0679.jpg,2,2,0,Healthy only
train,healthy_0680.jpg,1,1,0,Healthy only
train,healthy_0682.jpg,2,2,0,Healthy only
train,healthy_0683.jpg,1,1,0,Healthy only
train,healthy_0684.jpg,1,1,0,Healthy only
train,healthy_0685.jpg,2,1,1,Mixed
train,healthy_0687.jpg,2,2,0,Healthy only
train,healthy_0690.jpg,1,1,0,Healthy only
train,healthy_0691.jpg,4,4,0,Healthy only
train,healthy_0692.jpg,4,4,0,Healthy only
train,healthy_0694.jpg,3,3,0,Healthy only
train,healthy_0702.jpg,2,2,0,Healthy only
train,healthy_0704.jpg,3,3,0,Healthy only
train,healthy_0705.jpg,2,2,0,Healthy only
train,healthy_0706.jpg,4,4,0,Healthy only
train,healthy_0707.jpg,3,3,0,Healthy only
train,healthy_0708.jpg,4,4,0,Healthy only
train,healthy_0710.jpg,4,4,0,Healthy only
train,healthy_0711.jpg,5,5,0,Healthy only
train,healthy_0714.jpg,3,3,0,Healthy only
train,healthy_0715.jpg,3,3,0,Healthy only
train,healthy_0717.jpg,7,7,0,Healthy only
train,healthy_0718.jpg,3,3,0,Healthy only
train,healthy_0719.jpg,3,3,0,Healthy only
train,healthy_0721.jpg,5,5,0,Healthy only
train,healthy_0722.jpg,5,5,0,Healthy only
train,healthy_0723.jpg,1,1,0,Healthy only
train,healthy_0724.jpg,2,2,0,Healthy only
train,healthy_0726.jpg,1,1,0,Healthy only
train,healthy_0727.jpg,3,2,1,Mixed
train,healthy_0729.jpg,2,2,0,Healthy only
train,healthy_0731.jpg,7,7,0,Healthy only
train,healthy_0732.jpg,1,1,0,Healthy only
train,healthy_0733.jpg,3,3,0,Healthy only
train,healthy_0734.jpg,5,5,0,Healthy only
train,healthy_0735.jpg,2,2,0,Healthy only
train,healthy_0736.jpg,1,1,0,Healthy only
train,healthy_0739.jpg,4,4,0,Healthy only
train,healthy_0740.jpg,1,1,0,Healthy only
train,healthy_0741.jpg,5,5,0,Healthy only
train,healthy_0744.jpg,3,2,1,Mixed
train,healthy_0746.jpg,2,1,1,Mixed
train,healthy_0747.jpg,4,4,0,Healthy only
train,healthy_0748.jpg,4,4,0,Healthy only
train,healthy_0749.jpg,1,1,0,Healthy only
train,healthy_0750.jpg,2,2,0,Healthy only
train,healthy_0751.jpg,1,1,0,Healthy only
train,healthy_0752.jpg,3,3,0,Healthy only
train,healthy_0753.jpg,3,3,0,Healthy only
train,healthy_0754.jpg,1,1,0,Healthy only
train,healthy_0755.jpg,4,4,0,Healthy only
train,healthy_0756.jpg,3,3,0,Healthy only
train,healthy_0758.jpg,2,1,1,Mixed
train,healthy_0759.jpg,2,2,0,Healthy only
train,healthy_0760.jpg,3,2,1,Mixed
