split,image,class_id,class_name,x_center,y_center,width,height,area,aspect_ratio
train,healthy_0015.jpg,0,healthy,0.529785,0.657227,0.225586,0.519531,0.117198920166,0.434210855560111
train,healthy_0015.jpg,0,healthy,0.653809,0.630859,0.336914,0.441406,0.148715861084,0.7632746269873993
train,healthy_0015.jpg,0,healthy,0.753418,0.482422,0.454102,0.289062,0.13126363232399998,1.5709501767786842
train,healthy_0015.jpg,0,healthy,0.779297,0.268555,0.414062,0.238281,0.09866310742199999,1.7377046428376581
train,healthy_0016.jpg,0,healthy,0.537109,0.332031,0.75,0.414062,0.3105465,1.8113229419748733
train,healthy_0016.jpg,0,healthy,0.542969,0.741699,0.707031,0.450195,0.318301821045,1.57049945023823
train,healthy_0017.jpg,0,healthy,0.496582,0.817871,0.555664,0.364258,0.20240505731200004,1.5254682120914298
train,healthy_0017.jpg,0,healthy,0.570801,0.661133,0.567383,0.306641,0.17398289050299998,1.8503168199947169
train,healthy_0017.jpg,0,healthy,0.608398,0.362793,0.533203,0.280273,0.149442404419,1.902441548062068
train,healthy_0018.jpg,0,healthy,0.570312,0.641113,0.664062,0.27832,0.18482173584000003,2.385965794768612
train,healthy_0018.jpg,0,healthy,0.574707,0.333008,0.649414,0.308594,0.200405263916,2.1044284723617444
train,healthy_0018.jpg,0,healthy,0.476562,0.824707,0.673828,0.336914,0.22702208679199998,2.0
train,healthy_0019.jpg,0,healthy,0.257812,0.539062,0.386719,0.544922,0.210731690918,0.7096777153427463
train,healthy_0019.jpg,0,healthy,0.558594,0.641602,0.259766,0.716797,0.186199489502,0.3623982801267304
train,healthy_0019.jpg,0,healthy,0.753418,0.539551,0.407227,0.524414,0.21355553997800003,0.7765372396617939
train,healthy_0019.jpg,0,healthy,0.86377,0.302246,0.272461,0.473633,0.129046520813,0.5752576361866677
train,healthy_0020.jpg,0,healthy,0.274902,0.445801,0.547852,0.43457,0.23808004364000002,1.2606760705985227
train,healthy_0020.jpg,0,healthy,0.663574,0.625488,0.27832,0.637695,0.1774832724,0.4364468907549848
train,healthy_0020.jpg,0,healthy,0.771484,0.419922,0.267578,0.560547,0.149990045166,0.47735158693205026
train,healthy_0021.jpg,0,healthy,0.20752,0.322754,0.40918,0.643555,0.2633298349,0.6358120129592654
train,healthy_0021.jpg,0,healthy,0.338379,0.611328,0.225586,0.724609,0.163461645874,0.3113210020852626
train,healthy_0021.jpg,0,healthy,0.548828,0.647949,0.1875,0.704102,0.13201912500000001,0.26629664452025414
train,healthy_0021.jpg,0,healthy,0.716797,0.659668,0.306641,0.676758,0.20752174987799998,0.45310288168000973
train,healthy_0021.jpg,0,healthy,0.813477,0.524902,0.373047,0.522461,0.19490250866699999,0.7140188454257831
train,healthy_0022.jpg,0,healthy,0.241211,0.403809,0.474609,0.43457,0.20625083313,1.0921347538946544
train,healthy_0022.jpg,0,healthy,0.32373,0.601074,0.411133,0.62207,0.25575350531,0.6609111514781295
train,healthy_0022.jpg,0,healthy,0.541016,0.699219,0.177734,0.582031,0.10344669775399999,0.30536861438651897
train,healthy_0022.jpg,0,healthy,0.721191,0.704102,0.256836,0.585938,0.150489972168,0.43833306595578375
train,healthy_0022.jpg,0,healthy,0.818359,0.512695,0.363281,0.386719,0.140487665039,0.9393926856451326
train,healthy_0023.jpg,0,healthy,0.227051,0.632324,0.354492,0.698242,0.247521203064,0.5076921754921645
train,healthy_0023.jpg,0,healthy,0.5,0.660645,0.251953,0.678711,0.17100327258299997,0.37122280322552603
train,healthy_0023.jpg,0,healthy,0.694824,0.653809,0.458008,0.604492,0.27686217193600005,0.7576742123965247
train,healthy_0023.jpg,0,healthy,0.757812,0.455078,0.484375,0.341797,0.165557921875,1.4171423388736588
train,healthy_0024.jpg,0,healthy,0.264648,0.577637,0.271484,0.743164,0.201757135376,0.3653083303281644
train,healthy_0024.jpg,0,healthy,0.427734,0.620605,0.160156,0.737305,0.11808381958,0.21721811190755522
train,healthy_0024.jpg,0,healthy,0.612305,0.651855,0.248047,0.696289,0.172712397583,0.35624144572153227
train,healthy_0024.jpg,0,healthy,0.77832,0.463379,0.443359,0.631836,0.28013017712399996,0.7016994916402358
train,healthy_0025.jpg,0,healthy,0.179688,0.499023,0.347656,0.591797,0.205741777832,0.5874581993487632
train,healthy_0025.jpg,0,healthy,0.435547,0.617188,0.181641,0.666016,0.120975812256,0.2727276822178446
train,healthy_0025.jpg,0,healthy,0.683594,0.619629,0.357422,0.545898,0.195115954956,0.65474136193941
train,healthy_0025.jpg,0,healthy,0.79834,0.495605,0.40332,0.342773,0.13824720636,1.1766387667640101
train,healthy_0026.jpg,0,healthy,0.221191,0.360352,0.44043,0.205078,0.09032250354,2.147621880455241
train,healthy_0026.jpg,0,healthy,0.287109,0.552734,0.390625,0.371094,0.14495859375,1.052630869806572
train,healthy_0026.jpg,0,healthy,0.513184,0.708496,0.217773,0.583008,0.12696340118399999,0.37353346780833196
train,healthy_0026.jpg,0,healthy,0.79541,0.477539,0.344727,0.224609,0.07742878674300001,1.534787118948929
train,healthy_0027.jpg,0,healthy,0.188965,0.372559,0.348633,0.618164,0.21551236981200003,0.5639814029933804
train,healthy_0027.jpg,0,healthy,0.375488,0.352539,0.213867,0.601562,0.128654260254,0.3555194643278664
train,healthy_0027.jpg,1,unhealthy,0.762695,0.352051,0.236328,0.702148,0.165937232544,0.33657861305593695
train,healthy_0033.jpg,0,healthy,0.307617,0.282227,0.587891,0.208984,0.12285981274400001,2.8130909543314324
train,healthy_0033.jpg,0,healthy,0.300781,0.42627,0.599609,0.200195,0.12003872375499999,2.9951247533654684
train,healthy_0033.jpg,0,healthy,0.351562,0.574707,0.677734,0.178711,0.12111852087399999,3.7923463021302544
train,healthy_0033.jpg,0,healthy,0.349121,0.710938,0.645508,0.160156,0.103381979248,4.0304952671145635
train,healthy_0033.jpg,0,healthy,0.724609,0.813477,0.285156,0.347656,0.09913619433600002,0.8202245898244241
train,healthy_0034.jpg,0,healthy,0.473633,0.422363,0.923828,0.553711,0.5115337257079999,1.6684299210237832
train,healthy_0035.jpg,0,healthy,0.458984,0.655762,0.794922,0.379883,0.301977354126,2.092544283371459
train,healthy_0035.jpg,0,healthy,0.378906,0.256836,0.671875,0.435547,0.292633140625,1.5426004541415737
train,healthy_0036.jpg,0,healthy,0.420898,0.650391,0.806641,0.363281,0.29303734912100005,2.220432667824632
train,healthy_0036.jpg,0,healthy,0.460449,0.271484,0.727539,0.501953,0.365190383667,1.4494165788430393
train,healthy_0037.jpg,0,healthy,0.450195,0.670898,0.744141,0.410156,0.305213895996,1.8142877344230002
train,healthy_0037.jpg,0,healthy,0.500977,0.29834,0.730469,0.508789,0.37165459204100004,1.4357012435410357
train,healthy_0038.jpg,0,healthy,0.470703,0.282227,0.708984,0.478516,0.33926018774399996,1.4816307082730775
train,healthy_0038.jpg,0,healthy,0.452148,0.672852,0.787109,0.419922,0.330524385498,1.8744171536618703
train,healthy_0039.jpg,0,healthy,0.308594,0.508789,0.339844,0.705078,0.239616527832,0.4819948998550515
train,healthy_0039.jpg,0,healthy,0.533203,0.611328,0.177734,0.71875,0.12774631250000001,0.24728208695652173
train,healthy_0039.jpg,0,healthy,0.743164,0.618164,0.251953,0.662109,0.16682034887699998,0.3805310001827494
train,healthy_0042.jpg,0,healthy,0.678223,0.365723,0.635742,0.299805,0.19059863031,2.1205183369189977
train,healthy_0042.jpg,0,healthy,0.646973,0.12793,0.588867,0.248047,0.146066692749,2.3740137957725755
train,healthy_0042.jpg,0,healthy,0.585449,0.654297,0.586914,0.330078,0.193727399292,1.7781069928925892
train,healthy_0043.jpg,0,healthy,0.550781,0.323242,0.8125,0.384766,0.312622375,2.1116730688262475
train,healthy_0043.jpg,0,healthy,0.550293,0.76123,0.852539,0.446289,0.38047877777100003,1.9102845913746476
train,healthy_0044.jpg,0,healthy,0.566895,0.549805,0.77832,0.335938,0.26146726416,2.316856086539778
train,healthy_0044.jpg,1,unhealthy,0.506836,0.335449,0.744141,0.209961,0.156240588501,3.544186777544401
train,healthy_0044.jpg,0,healthy,0.380859,0.798828,0.490234,0.402344,0.19724270849599998,1.218444912810928
train,healthy_0045.jpg,1,unhealthy,0.453613,0.374023,0.831055,0.310547,0.25808163708500004,2.676100558047574
train,healthy_0045.jpg,0,healthy,0.512695,0.770996,0.966797,0.452148,0.437135329956,2.138231287100684
train,healthy_0046.jpg,0,healthy,0.436523,0.720215,0.785156,0.475586,0.373409201416,1.6509232820141888
train,healthy_0046.jpg,0,healthy,0.414062,0.466797,0.716797,0.265625,0.190399203125,2.698529882352941
train,healthy_0047.jpg,0,healthy,0.257812,0.594238,0.197266,0.756836,0.149298010376,0.26064563524990886
train,healthy_0047.jpg,0,healthy,0.390137,0.628906,0.157227,0.740234,0.116384771118,0.21240175403993874
train,healthy_0047.jpg,0,healthy,0.552246,0.646973,0.254883,0.682617,0.17398746881100002,0.3733909351803427
train,healthy_0047.jpg,0,healthy,0.66748,0.580078,0.375977,0.613281,0.230579550537,0.6130582881256716
train,healthy_0047.jpg,0,healthy,0.794434,0.376465,0.411133,0.602539,0.24772366668700002,0.6823342555419649
train,healthy_0048.jpg,0,healthy,0.350586,0.532715,0.699219,0.405273,0.28337458178700003,1.7253036841832543
train,healthy_0048.jpg,0,healthy,0.495117,0.172363,0.658203,0.342773,0.225614216919,1.9202300064474156
train,healthy_0048.jpg,0,healthy,0.415039,0.766602,0.828125,0.421875,0.349365234375,1.962962962962963
train,healthy_0048.jpg,0,healthy,0.350586,0.654785,0.699219,0.188477,0.131786699463,3.7098372745746167
train,healthy_0049.jpg,0,healthy,0.355957,0.227539,0.709961,0.328125,0.23295595312499998,2.1636906666666667
train,healthy_0049.jpg,0,healthy,0.306641,0.372559,0.611328,0.18457,0.11283280896,3.3121742428346965
train,healthy_0049.jpg,0,healthy,0.345703,0.662598,0.689453,0.307617,0.21208746350099997,2.241270801028552
train,healthy_0049.jpg,0,healthy,0.347168,0.79541,0.692383,0.37207,0.25761494281,1.8608944553444242
train,healthy_0050.jpg,0,healthy,0.314453,0.525391,0.345703,0.673828,0.232944361084,0.5130433879268893
train,healthy_0050.jpg,0,healthy,0.628418,0.53418,0.25293,0.744141,0.18821558313,0.3398952617850649
train,healthy_0050.jpg,0,healthy,0.812988,0.523438,0.374023,0.734375,0.274673140625,0.509307914893617
train,healthy_0051.jpg,0,healthy,0.273438,0.495117,0.34375,0.867188,0.298095875,0.396396167843651
train,healthy_0051.jpg,0,healthy,0.658691,0.526855,0.448242,0.913086,0.40928349481199994,0.49090885195918016
train,healthy_0052.jpg,0,healthy,0.236816,0.529297,0.47168,0.814453,0.38416119103999996,0.5791371632248884
train,healthy_0052.jpg,1,unhealthy,0.633301,0.617188,0.282227,0.683594,0.19292868383800002,0.41285763186920893
train,healthy_0053.jpg,0,healthy,0.492188,0.456055,0.976562,0.464844,0.453948986328,2.100838130641678
train,healthy_0054.jpg,0,healthy,0.562012,0.516113,0.868164,0.444336,0.38575651910400005,1.95384573836016
train,healthy_0055.jpg,0,healthy,0.537598,0.533691,0.899414,0.514648,0.46288161627200003,1.7476294477001757
train,healthy_0056.jpg,0,healthy,0.519043,0.505371,0.961914,0.540039,0.5194710746460001,1.7811935804636332
train,healthy_0057.jpg,0,healthy,0.514648,0.490723,0.970703,0.606445,0.588677980835,1.6006447410729745
train,healthy_0058.jpg,0,healthy,0.497559,0.514648,0.993164,0.470703,0.467485274292,2.109958933765028
train,healthy_0059.jpg,0,healthy,0.497559,0.61084,0.993164,0.614258,0.610058932312,1.6168515509769512
train,healthy_0063.jpg,0,healthy,0.483398,0.569336,0.65625,0.462891,0.30377221875,1.4177203704543835
train,healthy_0063.jpg,0,healthy,0.515137,0.35791,0.551758,0.713867,0.393881828186,0.7729142823523149
train,healthy_0064.jpg,0,healthy,0.552246,0.447266,0.456055,0.664062,0.30284879541000004,0.6867656935647575
train,healthy_0065.jpg,0,healthy,0.378906,0.452148,0.460938,0.625,0.28808625,0.7375008000000001
train,healthy_0066.jpg,0,healthy,0.517578,0.542969,0.40625,0.742188,0.301513875,0.5473680522994174
train,healthy_0067.jpg,0,healthy,0.731934,0.441895,0.458008,0.65332,0.29922578656000004,0.7010469601420437
train,healthy_0067.jpg,0,healthy,0.430176,0.818848,0.00293,0.006836,2.002948e-05,0.4286132241076653
train,healthy_0067.jpg,0,healthy,0.626465,0.453125,0.604492,0.611328,0.369542885376,0.9888177868509214
train,healthy_0068.jpg,0,healthy,0.237793,0.525391,0.473633,0.671875,0.318222171875,0.7049421395348837
train,healthy_0068.jpg,0,healthy,0.672852,0.543945,0.539062,0.662109,0.356917801758,0.8141589979897571
train,healthy_0069.jpg,0,healthy,0.544434,0.410156,0.711914,0.345703,0.24611080554200002,2.0593225977211653
train,healthy_0069.jpg,0,healthy,0.498535,0.769531,0.655273,0.375,0.245727375,1.7473946666666667
train,healthy_0070.jpg,0,healthy,0.433594,0.35791,0.865234,0.334961,0.289819645874,2.5830887774994697
train,healthy_0070.jpg,0,healthy,0.439941,0.62793,0.772461,0.298828,0.23083297570799996,2.584968610705824
train,healthy_0071.jpg,0,healthy,0.499023,0.47998,0.591797,0.750977,0.444425935669,0.7880361182832497
train,healthy_0072.jpg,0,healthy,0.478516,0.411621,0.591797,0.768555,0.454828543335,0.7700125560304728
train,healthy_0073.jpg,0,healthy,0.432617,0.442383,0.595703,0.376953,0.22455203295899998,1.5803110732637755
train,healthy_0073.jpg,0,healthy,0.528809,0.240723,0.532227,0.473633,0.25208027069100003,1.1237118190666613
train,healthy_0073.jpg,0,healthy,0.500977,0.713867,0.521484,0.572266,0.298427562744,0.9112615462040378
train,healthy_0074.jpg,0,healthy,0.422852,0.609863,0.751953,0.577148,0.433988170044,1.3028772515888472
train,healthy_0075.jpg,0,healthy,0.402832,0.493164,0.772461,0.556641,0.42998346350100003,1.3877184756422898
train,healthy_0076.jpg,0,healthy,0.43457,0.53418,0.84375,0.414062,0.3493648125,2.0377383097217328
train,healthy_0077.jpg,0,healthy,0.476562,0.313477,0.658203,0.423828,0.278964861084,1.5529955548005323
train,healthy_0077.jpg,0,healthy,0.431152,0.705566,0.665039,0.413086,0.274718300354,1.6099286831313577
train,healthy_0078.jpg,0,healthy,0.472168,0.566895,0.754883,0.448242,0.338370265686,1.6840969833259714
train,healthy_0078.jpg,0,healthy,0.470703,0.255859,0.734375,0.292969,0.21514910937499998,2.50666452764627
train,healthy_0079.jpg,0,healthy,0.462891,0.591797,0.785156,0.3125,0.24536124999999998,2.5124991999999997
train,healthy_0079.jpg,0,healthy,0.453125,0.369141,0.75,0.382812,0.287109,1.9591862324065077
train,healthy_0080.jpg,0,healthy,0.539551,0.260254,0.766602,0.375977,0.288224720154,2.0389598299896003
train,healthy_0080.jpg,0,healthy,0.489746,0.583008,0.743164,0.410156,0.304813173584,1.8119057139234829
train,healthy_0081.jpg,0,healthy,0.527832,0.523438,0.801758,0.464844,0.37269239575199997,1.724789391709907
train,healthy_0081.jpg,0,healthy,0.569824,0.254395,0.672852,0.454102,0.305543438904,1.4817199659988285
train,healthy_0082.jpg,0,healthy,0.45166,0.290039,0.875977,0.439453,0.384950720581,1.9933348958819261
train,healthy_0082.jpg,0,healthy,0.498535,0.677734,0.793945,0.357422,0.28377340979000004,2.2213098242413727
train,healthy_0083.jpg,0,healthy,0.501953,0.503906,0.769531,0.533203,0.41031623779299997,1.4432233126970404
train,healthy_0084.jpg,0,healthy,0.546387,0.49707,0.875977,0.630859,0.552617974243,1.3885464105291359
train,healthy_0085.jpg,0,healthy,0.462891,0.520508,0.763672,0.515625,0.393768375,1.4810608484848484
train,healthy_0086.jpg,0,healthy,0.497559,0.396484,0.805664,0.548828,0.442170961792,1.4679717507124272
train,healthy_0087.jpg,0,healthy,0.493164,0.552246,0.792969,0.463867,0.367832151123,1.7094749141456498
train,healthy_0088.jpg,0,healthy,0.470215,0.474121,0.833008,0.547852,0.456365098816,1.520498236750071
train,healthy_0089.jpg,0,healthy,0.481934,0.564941,0.834961,0.487305,0.40688067010499995,1.7134258831737823
train,healthy_0090.jpg,0,healthy,0.486816,0.429688,0.790039,0.507812,0.4011912846680001,1.5557706395280142
train,healthy_0091.jpg,0,healthy,0.414062,0.574707,0.402344,0.825195,0.33201225708,0.48757445209920075
train,healthy_0091.jpg,0,healthy,0.705078,0.458496,0.589844,0.708008,0.417614270752,0.8331035807505001
train,healthy_0092.jpg,0,healthy,0.197266,0.460938,0.392578,0.800781,0.31436900341799995,0.4902438993932174
train,healthy_0092.jpg,0,healthy,0.70166,0.473633,0.59668,0.755859,0.45100594811999994,0.7894064898347444
train,healthy_0093.jpg,0,healthy,0.211914,0.566406,0.382812,0.599609,0.22953752050799997,0.6384360474909483
train,healthy_0093.jpg,0,healthy,0.605469,0.517578,0.488281,0.583984,0.285148291504,0.8361205101509631
train,healthy_0094.jpg,0,healthy,0.403809,0.524902,0.317383,0.74707,0.23710731781000002,0.42483702999718903
train,healthy_0094.jpg,0,healthy,0.695801,0.507324,0.44043,0.766602,0.33763451886,0.5745223727566586
train,healthy_0095.jpg,0,healthy,0.323242,0.53125,0.371094,0.664062,0.246429423828,0.5588243266441988
train,healthy_0095.jpg,0,healthy,0.634766,0.533203,0.361328,0.669922,0.24206157641599998,0.5393583133558831
train,healthy_0096.jpg,0,healthy,0.353027,0.556152,0.389648,0.848633,0.330668151184,0.4591478295093403
train,healthy_0096.jpg,0,healthy,0.683105,0.574219,0.411133,0.851562,0.35010523974600005,0.4827986687992184
train,healthy_0097.jpg,0,healthy,0.414551,0.449219,0.600586,0.367188,0.220527972168,1.635636240835757
train,healthy_0125.jpg,0,healthy,0.147461,0.452148,0.271484,0.789062,0.21421770800800002,0.34405914871074766
train,healthy_0125.jpg,0,healthy,0.533203,0.428223,0.521484,0.643555,0.33560363561999995,0.8103176884648553
train,healthy_0125.jpg,0,healthy,0.729492,0.277344,0.541016,0.503906,0.272621208496,1.0736446876996901
train,healthy_0126.jpg,0,healthy,0.197266,0.634766,0.291016,0.509766,0.148350062256,0.5708815417269884
train,healthy_0126.jpg,0,healthy,0.433594,0.647461,0.21875,0.560547,0.12261965625,0.3902438154160133
train,healthy_0126.jpg,0,healthy,0.680664,0.574219,0.390625,0.501953,0.19607539062499998,0.7782103105270812
train,healthy_0126.jpg,0,healthy,0.782715,0.505859,0.350586,0.423828,0.148588163208,0.8271893315212776
train,healthy_0127.jpg,0,healthy,0.383789,0.642578,0.242188,0.552734,0.133865541992,0.43816374603335423
train,healthy_0127.jpg,0,healthy,0.636719,0.629883,0.248047,0.537109,0.13322827612299998,0.4618187369789
train,healthy_0127.jpg,0,healthy,0.130859,0.568848,0.259766,0.424805,0.11034989563,0.6114946857970127
train,healthy_0128.jpg,0,healthy,0.583496,0.551758,0.694336,0.259766,0.18036488537599998,2.672928712764565
train,healthy_0128.jpg,0,healthy,0.544922,0.833496,0.583984,0.27832,0.16253442688,2.098246622592699
train,healthy_0128.jpg,0,healthy,0.556152,0.253906,0.651367,0.375,0.244262625,1.7369786666666667
train,healthy_0129.jpg,0,healthy,0.507324,0.299805,0.885742,0.40625,0.3598326875,2.180288
train,healthy_0129.jpg,0,healthy,0.47168,0.597168,0.738281,0.37793,0.27901853832999995,1.953486095308655
train,healthy_0129.jpg,0,healthy,0.249023,0.74707,0.412109,0.470703,0.193980942627,0.8755181080214063
train,healthy_0130.jpg,0,healthy,0.613281,0.464355,0.681641,0.352539,0.240305036499,1.9335194120366828
train,healthy_0130.jpg,0,healthy,0.602539,0.147461,0.667969,0.285156,0.19047536816400001,2.342468683808161
train,healthy_0130.jpg,0,healthy,0.773438,0.725586,0.390625,0.542969,0.212097265625,0.7194241291860124
train,healthy_0131.jpg,0,healthy,0.360352,0.591797,0.287109,0.599609,0.172153140381,0.47882703561821127
train,healthy_0131.jpg,0,healthy,0.623047,0.555664,0.320312,0.533203,0.17079131933599997,0.600731803834562
train,healthy_0131.jpg,0,healthy,0.103516,0.55957,0.205078,0.511719,0.10494230908200002,0.4007629187112458
train,healthy_0131.jpg,0,healthy,0.860352,0.495605,0.279297,0.493164,0.137739225708,0.5663369589021097
train,healthy_0132.jpg,0,healthy,0.509766,0.495605,0.564453,0.219727,0.124025564331,2.568883205068107
train,healthy_0132.jpg,0,healthy,0.549316,0.256836,0.536133,0.339844,0.18220158325199998,1.5775855980979507
train,healthy_0132.jpg,0,healthy,0.557129,0.804199,0.479492,0.387695,0.18589665094,1.2367763319103933
train,healthy_0133.jpg,0,healthy,0.625977,0.460938,0.197266,0.78125,0.1541140625,0.25250047999999997
train,healthy_0133.jpg,0,healthy,0.379395,0.555176,0.438477,0.68457,0.30016819989,0.6405144835444148
train,healthy_0133.jpg,0,healthy,0.265137,0.744629,0.473633,0.452148,0.214152213684,1.0475176269716997
train,healthy_0133.jpg,0,healthy,0.854004,0.528809,0.258789,0.739258,0.191311838562,0.3500658768657221
train,healthy_0134.jpg,0,healthy,0.533203,0.624512,0.332031,0.750977,0.24934764428700001,0.4421320493170896
train,healthy_0134.jpg,0,healthy,0.296387,0.637207,0.225586,0.717773,0.16191953997800002,0.31428599292533993
train,healthy_0134.jpg,0,healthy,0.724121,0.444824,0.313477,0.698242,0.21888280743400002,0.4489517960821606
train,healthy_0135.jpg,0,healthy,0.54834,0.642578,0.331055,0.714844,0.23665268042,0.4631150292931045
train,healthy_0135.jpg,0,healthy,0.307617,0.55127,0.441406,0.790039,0.34872795483400004,0.5587141900589717
train,healthy_0136.jpg,0,healthy,0.524414,0.437012,0.660156,0.282227,0.186313847412,2.3390958342043815
train,healthy_0136.jpg,0,healthy,0.524902,0.738281,0.600586,0.408203,0.24516100695799997,1.4712924696780767
train,healthy_0136.jpg,0,healthy,0.586914,0.186523,0.521484,0.371094,0.19351958349599996,1.4052612006661385
train,healthy_0137.jpg,0,healthy,0.555664,0.48584,0.609375,0.327148,0.1993558125,1.8626890581632778
train,healthy_0137.jpg,0,healthy,0.570312,0.168945,0.619141,0.335938,0.20799298925800003,1.843021628991064
train,healthy_0137.jpg,0,healthy,0.618164,0.683594,0.554688,0.472656,0.26217661132799996,1.17355539758302
train,healthy_0138.jpg,0,healthy,0.227539,0.416016,0.298828,0.777344,0.232292152832,0.38442182611559356
train,healthy_0138.jpg,0,healthy,0.600586,0.449219,0.365234,0.705078,0.257518458252,0.5180051001449485
train,healthy_0139.jpg,0,healthy,0.414062,0.47998,0.152344,0.65332,0.09952938208,0.23318435070103471
train,healthy_0139.jpg,0,healthy,0.674805,0.437012,0.191406,0.555664,0.10635742358400001,0.3444635607129488
